კოდი,დასახელება,ფასი,ფოტო,Image_URL,Image_File,Status,Match_Title
126,საბურავის სარქველი PIPO SUBAP 14-3 9.5 CM,17,,https://www.parcaofisi.com/Dosyalar/yedek-parca-resim/urun/buyuk/subap-takimi.webp,126.jpg,FOUND,
127,საბურავის სარქველი PIPO JUMBO SUBAP  KISA,18,,https://www.cihazbilgi.com/wp-content/uploads/2024/04/subap-lastigi.jpg,127.jpg,FOUND,
128,პლასტიკის ვერტიკალური PLASTIK ILAVE SUBAP,1,,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=10159661632577772,128.jpg,FOUND,
129,KAYIS რეზინის ღვედი,1.5,,https://www.fiatparcacim.com/wp-content/uploads/2013/05/51894542.jpeg,129.jpg,FOUND,
130,GUC KAYNAGI უწყვეტი კვების წყარო,0.1,,https://blog.monsternotebook.com.tr/wp-content/uploads/guc-kaynagi-1024x1024.jpg,130.jpg,FOUND,
131,ACMA KAPAMA BUTONU ჩამრთველი,45,,https://n11scdn.akamaized.net/a1/602_857/16/33/38/90/IMG-4509844153793473062.jpg,131.jpg,FOUND,
132,საბურავის სარქველი ჩემპიონ SENSORLU SUBAPI KAUCUK TIP,6,,https://onurkaucuk.com/wp-content/uploads/2025/08/Papatya-Tip-Kaplin-Lastikleri-1.jpg,132.jpg,FOUND,
133,საბურავის ფანქარი LASTIK TEBESIRI,3,,https://www.lastikyolla.com/class/INNOVAEditor/assets/kis-lastigi-fiyatlari.jpg,133.jpg,FOUND,
134,საფარი ქვა BEYAZ KOPUK TAS,25,,https://www.nadirtoptan.com/foxter-zenne-z-9001-kopuk-taban-tasli-kutulu-gunluk-terlik-beyaz-renkli-tas-gunluk-foxter-296756-12-B.jpg,134.jpg,FOUND,
135,საბურავის დასამონტაჟებელი კრემი LASTIK MONTAJ KREMI 5KG.SARI,35,,https://brioshop.com.tr/wp-content/uploads/2024/09/brio-lastik-montaj-kremi-sari-5-kg-12465-2.jpeg,135.jpg,FOUND,
136,10 CM KISA FITIL USA რეზინის ფიტილი,0.4,,https://www.renticar.com/cms/large_Kis_Lastigi_Secerken_Nelere_Dikkat_Edilmeli_1500x1000px_blog_gorsel_7887f3b712.jpg,136.jpg,FOUND,
137,მეტალის ვერტიკალური სარქველი 10 CM METAL SUBAP ILAVESI,0.8,,https://cdn.dsmcdn.com/ty478/product/media/images/20220714/11/141482930/521212263/1/1_org_zoom.jpg,137.jpg,FOUND,
138,მეტალის ვერტიკალური საფესტო კლიპით 14 CM METAL SUBAP ILAVESI,8,,https://ekvatorlastik.com/images/Urunler/sample.png,138.jpg,FOUND,
139,ქარჩის ანასწერი 4 LU ISTAVROZ BIJON ANAHTARI LOKMALI,60,,https://cdn.dsmcdn.com/ty1727/prod/QC_PREP/20250816/02/df45e2b5-5cc1-3f0f-86d1-11d9105c22a5/1_org_zoom.jpg,139.jpg,FOUND,
140,BOS HAVA TABANCASI SAPPOWER  ხელის ინსტრუმენტი ჰაერის ფისტოლი,25,,https://ideacdn.net/idea/kj/24/myassets/products/522/2-org-zoom-1.jpg?revision=1698269209,140.jpg,FOUND,
141,ხელის ინსტრუმენტი 38/20 LASTIK LEVYESI 500MM,35,,http://cdn1.xmlbankasi.com/p1/hasgulticaret/image/data/resimler/hsgl-bisiklet-lastik-sokme-levyesi-3lu-turuncu-plastik-bisiklet-tamir-seti-111876.jpg,141.jpg,FOUND,
142,ხელის ინსტრუმენტი 38/24 LASTIK LEVYESI 600MM,55,,https://parcavs.com/wp-content/uploads/2023/02/Altas-39-24-Agir-Vasitalar-Icin-Lastik-Levyesi-600-Mm-2.-El.jpeg,142.jpg,FOUND,
143,ხელის ინსტრუმენტი LASTIK LEVYESI 610MM,65,,http://cdn1.xmlbankasi.com/p1/hasgulticaret/image/data/resimler/hsgl-bisiklet-lastik-sokme-levyesi-3lu-turuncu-plastik-bisiklet-tamir-seti-111876.jpg,143.jpg,FOUND,
144,რეზინის ფიტილი 20CM LASTIK TAMIR FITILI UZUN INCE SIYAH,0.6,,https://cdn.dsmcdn.com/ty253/product/media/images/20211121/20/138708/320091834/1/1_org_zoom.jpg,144.jpg,FOUND,
145,საბურავის ფიტილი 1/2 HAVALI SOMUN SOKME SAP POWER,0.4,,https://www.hakantorna.com.tr/wp-content/uploads/2024/09/sappower-1-2-havali-somun-sokme-sikma-tabancasi-mini-kucuk-3.jpg,145.jpg,FOUND,
146,AT-7800 HAVALI SOMUN SOKME 1P GAV ხელის ავტომატური ინსტრუმენტი,1400,,https://www.canotom.com.tr/idea/cd/75/myassets/products/126/at241.png?revision=1697143329,146.jpg,FOUND,
147,რეზინის ფიტილი 20CM LASTIK TAMIR FITILI USA,0.8,,https://ideacdn.net/idea/lg/30/myassets/products/864/41d9c538776541f98aa1d06299b21c2a-jpg.jpeg?revision=1697143329,147.jpg,FOUND,
148,4500 SOKEN ხელის ავტომატური ინსტრუმენტის ფაიფური,450,,https://cdn.yeniakit.com.tr/images/news/625/lastik-yonetiminde-sir-perdesi-aralaniyor-4500-lastik-tek-cati-altinda-h1767879930-18789d.jpg,148.jpg,FOUND,
149,კონდიცირების მარეგულირებელი SARTLANDIRICI 1/4 (KUCUK),100,,https://ideacdn.net/idea/fw/70/myassets/products/653/metal-govde-festo-tip-pnomatik-ikili-sartlandirici-pnomatik-hava-hazirlayici-sartlandirici-dc-serisi-p1-max-16-bar-fiyati-ve-ozellikleri.jpg?revision=1709276441,149.jpg,FOUND,
